"Measure"	"Location_X(µm)"	"Location_Y(µm)"	"Lenght(µm)"	"Width(µm)"
"Measurement Table Acquire 08-27-18 10_48_35* "	8.80356121063232	21.4648628234863	2.1443403414674	0.905999288356686
"Measurement Table Acquire 08-27-18 10_48_56* "	72.3078994750977	39.5665664672852	2.03559681037781	0.944149840743389
"Measurement Table Acquire 08-27-18 10_49_07* "	79.232048034668	34.7196617126465	1.65039370273058	1.05029884263138
"Measurement Table Acquire 08-27-18 10_49_12* "	71.4176483154297	64.1967544555664	1.9601167552509	0.894802706829712
"Measurement Table Acquire 08-27-18 10_49_21* "	85.3648681640625	48.9636268615723	2.07808411498494	0.998211413939415
"Measurement Table Acquire 08-27-18 10_52_38* "	49.8538703918457	15.5298767089844	2.02255914366846	0.963527568379636
"Measurement Table Acquire 08-27-18 10_52_52* "	37.192569732666	71.0219879150391	2.07504774799282	0.818299327349897
"Measurement Table Acquire 08-27-18 10_52_59* "	73.2970657348633	78.4407196044922	2.02421321030085	0.989331544904877
"Measurement Table Acquire 08-27-18 10_55_17* "	99.6088333129883	52.8213615417481	2.89652088189392	1.33616166579175
